date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2018-12-16,,,,,1308.328,6.0,,,,,,6538.0,
2018-12-17,,31.054000000000002,4.0,,1334.107,4.0,113.0,,,,,858.0,
2018-12-18,,34.891,,,1357.994,11.0,,,,,,,
2018-12-19,,4.968,,,1278.594,9.0,,,,,,13628.0,
2018-12-20,,162.293,7.0,,1411.621,2.0,93.0,,,,56.0,5097.0,
2018-12-21,,0.085,,,1343.078,10.0,,,,,,950.0,
2018-12-22,,348.073,31.0,,1511.22,7.0,154.0,,,,57.0,6094.0,
2018-12-23,,173.591,5.0,,1401.725,15.0,89.0,,,,59.0,14716.0,
2018-12-24,,1.744,1.0,,1324.686,4.0,108.0,,,,,46705.0,
2018-12-25,,,,,1261.5819999999999,3.0,,,,,,5304.0,
2018-12-26,,325.022,23.0,,1551.243,11.0,164.0,,,,51.0,6756.0,
2018-12-27,,3.173,2.0,,1313.508,,,,,,,1611.0,
2018-12-28,,0.085,,,1311.391,,,,,,,,
2018-12-29,,0.053,,,1285.173,,,,,,,,
2018-12-30,,,,,1314.6480000000001,28.0,,,,,,19698.0,
2018-12-31,,,,,1314.6480000000001,9.0,,,,,,4817.0,
2019-01-01,,307.281,67.0,,1377.873,,119.079,,,,,5132.0,
2019-01-02,,214.347,21.0,,1403.835,9.0,104.0,,,,54.0,7211.0,
2019-01-03,,1.407,1.0,,1314.782,1.0,,,,,,509.0,
2019-01-04,,1.181,1.0,,1312.987,6.0,,,,,,2323.0,
2019-01-05,,239.259,42.0,,1334.986,11.0,128.152,,,,,7750.0,
2019-01-06,,262.784,13.0,,1467.973,8.0,105.0,,,,57.0,17664.0,
2019-01-07,,133.382,33.0,,1355.839,5.0,122.0,,,,,6310.0,
2019-01-08,,320.368,42.0,,1350.796,9.0,163.0,,,,,16508.0,
2019-01-09,,0.601,,,1292.919,4.0,145.0,,,,,1048.0,
2019-01-10,,106.31,7.0,,1390.053,2.0,131.0,,,,62.0,9009.0,
2019-01-11,,56.932,6.0,,1364.413,14.0,65.0,,,,,5590.0,
2019-01-12,,5.488,3.0,,1314.154,11.0,,,,,,4612.0,
2019-01-13,,714.99,109.0,,1485.847,19.0,135.0,,,,54.0,16036.0,
2019-01-14,,1.711,1.0,,1285.487,5.0,,,,,,2805.0,
